Year, Player, Position, Team,
2017, Russell Westbrook, G, Oklahoma City Thunder,
2016, Stephen Curry, G, Golden State Warriors,
2015, Stephen Curry, G, Golden State Warriors,
2014, Kevin Durant, F, Oklahoma City Thunder,
2013, LeBron James, F, Miami Heat,
2012, LeBron James, F, Miami Heat,
2011, Derrick Rose, G, Chicago Bulls,
2010, LeBron James, F, Cleveland Cavaliers,
2009, LeBron James, F, Cleveland Cavaliers,
2008, Kobe Bryant, G, Los Angeles Lakers,
2007, Dirk Nowitzki, F, Dallas Mavericks,
2006, Steve Nash, G, Phoenix Suns,
2005, Steve Nash, G, Phoenix Suns,
2004, Kevin Garnett, F, Minnesota Timberwolves,
2003, Tim Duncan, C, San Antonio Spurs,
2002, Tim Duncan, C, San Antonio Spurs,
2001, Allen Iverson, G, Philadelphia 76ers,
2000, Shaquille Oâ€™Neal, C, Los Angeles Lakers,
1999, Karl Malone, F, Utah Jazz,
1998, Michael Jordan, G, Chicago Bulls,
1997, Karl Malone, F, Utah Jazz,
1996, Michael Jordan, G, Chicago Bulls,
1995, David Robinson, C, San Antonio Spurs,
1994, Hakeem Olajuwon, C, Houston Rockets,
1993, Charles Barkley, F, Phoenix Suns,
1992, Michael Jordan, G, Chicago Bulls,
1991, Michael Jordan, G, Chicago Bulls,
1990, Magic Johnson, G, Los Angeles Lakers,
1989, Magic Johnson, G, Los Angeles Lakers,
1988, Michael Jordan, G, Chicago Bulls,
1987, Magic Johnson, G, Los Angeles Lakers,
1986, Larry Bird, F, Boston Celtics,
1985, Larry Bird, F, Boston Celtics,
1984, Larry Bird, F, Boston Celtics,
1983, Moses Malone, C, Philadelphia 76ers,
1982, Moses Malone, C, Houston Rockets,
1981, Julius Erving, F, Philadelphia 76ers,
1980, Kareem Abdul-Jabbar, C, Los Angeles Lakers,
1979, Moses Malone, C, Houston Rockets,
1978, Bill Walton, C, Portland Trail Blazers,
1977, Kareem Abdul-Jabbar, C, Los Angeles Lakers,
1976, Kareem Abdul-Jabbar, C, Los Angeles Lakers,
1975, Bob McAdoo, C, Buffalo Braves,
1974, Kareem Abdul-Jabbar, C, Milwaukee Bucks,
1973, Dave Cowens, C, Boston Celtics,
1972, Kareem Abdul-Jabbar, C, Milwaukee Bucks,
1971, Kareem Abdul-Jabbar, C, Milwaukee Bucks,
1970, Willis Reed, C, New York Knicks,
1969, Wes Unseld, C, Baltimore Bullets,
1968, Wilt Chamberlain, C, Philadelphia 76ers,
1967, Wilt Chamberlain, C, Philadelphia 76ers,
1966, Wilt Chamberlain, C, Philadelphia 76ers,
1965, Bill Russell, C, Boston Celtics,
1964, Oscar Robertson, G, Cincinnati Royals,
1963, Bill Russell, C, Boston Celtics,
1962, Bill Russell, C, Boston Celtics,
1961, Bill Russell, C, Boston Celtics,
1960, Wilt Chamberlain, C, Philadelphia Warriors,
1959, Bob Pettit, F, St. Louis Hawks,
1958, Bill Russell, C, Boston Celtics,
1957, Bob Cousy, G, Boston Celtics,
1956, Bob Pettit, F, St. Louis Hawks,